,性別,父牛,母の父,母の祖父,母の祖祖父,日令,体重,価格,年月日
19191,去勢,幸紀雄,安福久,第１花国,平茂勝,300,325,696000,2020-06-11
19192,雌,幸紀雄,安福久,忠富士,安平,311,269,579000,2020-06-11
19193,雌,幸紀雄,安福久,百合茂,安平,301,319,872000,2020-06-11
19194,去勢,幸紀雄,安福久,百合茂,平茂晴,295,336,713000,2020-06-11
19195,雌,幸紀雄,安福久,百合茂,北国７の８,299,258,549000,2020-06-11
19196,去勢,幸紀雄,安福久,平茂勝,安福１６５の９,285,265,569000,2020-06-11
19197,雌,幸紀雄,安福久,平茂勝,安平,284,233,510000,2020-06-11
19198,去勢,幸紀雄,華春久,百合茂,糸藤（鹿）,268,348,729000,2020-06-11
19199,去勢,幸紀雄,華春福,安福久,忠茂勝,291,319,697000,2020-06-11
19200,去勢,幸紀雄,美国桜,安福久,平茂勝,267,335,873000,2020-06-11
19201,去勢,幸紀雄,美国桜,勝忠平,隆之国,274,301,678000,2020-06-11
19202,雌,幸紀雄,美津照重,百合茂,糸福（大）,313,311,546000,2020-06-11
19203,去勢,幸紀雄,百合福久,茂勝栄,安平照,308,265,471000,2020-06-11
19204,去勢,幸紀雄,福華１,安福久,平茂勝,291,378,843000,2020-06-11
19205,雌,幸紀雄,平茂晴,安福久,平茂勝,290,286,531000,2020-06-11
19206,去勢,幸紀雄,隆之国,勝忠平,紋次郎,286,312,630000,2020-06-11
19207,去勢,幸福桜,幸紀雄,百合茂,平茂勝,267,295,598000,2020-06-11
19208,去勢,実有貴,安福久,第１花国,平茂勝,293,304,636000,2020-06-11
19209,去勢,実有貴,安茂勝,糸金山,第２忠菊,270,327,345000,2020-06-11
19210,去勢,実有貴,安茂勝,北国茂,安平,299,371,733000,2020-06-11
19211,雌,実有貴,安茂勝,紋次郎,第２０平茂,291,338,501000,2020-06-11
19212,雌,実有貴,華春福,平茂勝,安平,269,345,546000,2020-06-11
19213,去勢,実有貴,光平照,美津百合,安茂勝,271,339,599000,2020-06-11
19214,雌,実有貴,北国７の８,平茂勝,紋次郎,266,282,476000,2020-06-11
19215,雌,若百合,安福久,勝忠平,糸梅,259,268,549000,2020-06-11
19216,去勢,若百合,安福久,平茂勝,糸秀,290,311,688000,2020-06-11
19217,去勢,若百合,美津照重,平茂勝,糸福（大）,283,359,703000,2020-06-11
19218,雌,若百合,美穂国,忠富士,安平,262,286,539000,2020-06-11
19219,雌,若百合,福桜（宮）,日向国,安平,303,293,494000,2020-06-11
19220,去勢,寿勝平,隆之国,勝忠平,高栄,294,379,757000,2020-06-11
19221,去勢,秀幸福,華春福,安平,金幸,266,340,880000,2020-06-11
19222,去勢,秀正実,美穂国,忠富士,照萩,314,357,612000,2020-06-11
19223,去勢,秋忠平,安福久,百合茂,糸福（大）,289,364,878000,2020-06-11
19224,雌,秋忠平,久富福,糸晴（佐）,平茂勝,269,319,528000,2020-06-11
19225,雌,秋忠平,美津照重,安平,糸秀,268,334,565000,2020-06-11
19226,雌,秋忠平,福栄,金幸,平茂勝,306,272,490000,2020-06-11
19227,去勢,秋忠平,平茂晴,安福久,勝忠平,280,363,852000,2020-06-11
19228,雌,勝三宝,安茂勝,美津福,神高福,287,240,421000,2020-06-11
19229,去勢,勝早桜５,華春福,安福久,平茂勝,286,317,651000,2020-06-11
19230,雌,勝忠平,安福久,忠富士,安平,300,344,890000,2020-06-11
19231,去勢,勝忠平,安福久,平茂晴,安福１６５の９,300,326,659000,2020-06-11
19232,去勢,勝忠平,飛騨白清,隆桜,安平,310,321,570000,2020-06-11
19233,去勢,勝忠平,紋次郎,糸福（大）,徳花,297,386,690000,2020-06-11
19234,去勢,勝茂久,美国桜,百合茂,照長土井,291,341,784000,2020-06-11
19235,去勢,晴茂平,美津照重,勝忠平,隆桜,271,320,632000,2020-06-11
19236,去勢,聖香藤,安福久,福之国,隆桜,314,352,724000,2020-06-11
19237,雌,聖香藤,隆之国,忠富士,安平,282,264,531000,2020-06-11
19238,雌,忠久勝,美津照,福桜（宮）,糸晴（佐）,279,258,323000,2020-06-11
19239,去勢,直太郎,安福久,勝忠平,福栄,296,349,767000,2020-06-11
19240,雌,直太郎,安福久,照美,安平,294,321,560000,2020-06-11
19241,雌,直太郎,安福久,百合茂,福桜（宮）,302,326,628000,2020-06-11
19242,雌,直太郎,安福久,平茂勝,北国７の９,295,278,559000,2020-06-11
19243,去勢,直太郎,金照,寿恵福,福桜（宮）,308,334,551000,2020-06-11
19244,雌,直太郎,美津照重,菊花国,福栄,272,320,526000,2020-06-11
19245,雌,直太郎,隆之国,安福久,勝忠平,291,318,584000,2020-06-11
19246,雌,藤平茂,菊花国,忠富士,上福,290,292,514000,2020-06-11
19247,去勢,美国桜,安糸福,金幸,神高福,298,320,572000,2020-06-11
19248,去勢,美国桜,安福久,金幸,忠福,287,321,744000,2020-06-11
19249,去勢,美国桜,安福久,勝忠平,安平,299,294,662000,2020-06-11
19250,去勢,美国桜,安福久,勝忠平,安平,280,331,832000,2020-06-11
19251,去勢,美国桜,安福久,忠富士,安平,280,357,801000,2020-06-11
19252,去勢,美国桜,安福久,百合茂,金幸,283,317,693000,2020-06-11
19253,去勢,美国桜,安福久,百合茂,第１花国,298,289,554000,2020-06-11
19254,去勢,美国桜,安福久,平茂勝,北国７の８,294,289,553000,2020-06-11
19255,去勢,美国桜,安福久,平茂勝,隆桜,275,297,679000,2020-06-11
19256,雌,美国桜,華春福,安福久,平茂勝,313,297,821000,2020-06-11
19257,去勢,美国桜,華春福,百合茂,金幸,284,349,697000,2020-06-11
19258,雌,美国桜,喜亀忠,安福久,勝忠平,293,324,945000,2020-06-11
19259,去勢,美国桜,菊花国,安平,北国７の８,295,267,500000,2020-06-11
19260,去勢,美国桜,幸紀雄,安福久,平茂勝,306,318,570000,2020-06-11
19261,去勢,美国桜,幸紀雄,勝忠平,紋次郎,309,322,558000,2020-06-11
19262,雌,美国桜,耕富士,福之国,安平,319,306,668000,2020-06-11
19263,去勢,美国桜,勝忠平,安福久,第１花国,324,296,560000,2020-06-11
19264,去勢,美国桜,勝忠平,安福久,平茂勝,283,336,594000,2020-06-11
19265,去勢,美国桜,勝忠平,安福久,北国７の８,287,367,826000,2020-06-11
19266,雌,美国桜,勝忠平,茂洋,第１花国,297,342,973000,2020-06-11
19267,去勢,美国桜,忠富士,安平,福茂,284,348,662000,2020-06-11
19268,雌,美国桜,忠富士,安平,隆桜,293,283,517000,2020-06-11
19269,雄,美国桜,忠富士,安平,隆桜,293,348,495000,2020-06-11
19270,雌,美国桜,忠富士,安平,隆桜,298,293,704000,2020-06-11
19271,雌,美国桜,美津照重,勝忠平,安平,283,249,561000,2020-06-11
19272,去勢,美国桜,美津照重,忠富士,上福,306,316,557000,2020-06-11
19273,雌,美国桜,百合茂,安福久,勝糸福,279,289,862000,2020-06-11
19274,去勢,美国桜,百合茂,安福久,美津福,279,348,746000,2020-06-11
19275,去勢,美国桜,百合茂,安福久,平茂勝,285,314,668000,2020-06-11
19276,去勢,美国桜,百合茂,安福久,平茂勝,280,286,554000,2020-06-11
19277,雌,美国桜,百合茂,安平,隆桜,311,316,813000,2020-06-11
19278,去勢,美国桜,百合茂,平茂晴,美津福,278,290,519000,2020-06-11
19279,去勢,美国桜,平茂勝,安平,福桜（宮）,309,335,593000,2020-06-11
19280,雌,美国桜,平茂勝,美津福,糸福（大）,299,316,588000,2020-06-11
19281,去勢,美国桜,平茂晴,安福久,平茂勝,306,327,590000,2020-06-11
19282,去勢,美国桜,平茂晴,安平,隆美,277,337,630000,2020-06-11
19283,雌,美国桜,平茂晴,平茂勝,美津福,275,278,570000,2020-06-11
19284,去勢,美国桜,諒太郎,安福久,第１花国,288,326,707000,2020-06-11
19285,雌,美津照重,安糸福,平茂勝,安平,289,310,569000,2020-06-11
19286,去勢,美津照重,安福（岐）,平茂勝,金幸,312,305,490000,2020-06-11
19287,雌,美津照重,安福久,勝忠平,美津照,290,297,765000,2020-06-11
19288,去勢,美津照重,安福久,平茂勝,安平,303,304,503000,2020-06-11
19289,去勢,美津照重,安茂勝,福栄,平茂勝,300,321,625000,2020-06-11
19290,去勢,美津照重,安茂勝,福桜（宮）,糸秀,302,310,570000,2020-06-11
19291,雌,美津照重,華春福,百合茂,紋次郎,292,303,570000,2020-06-11
19292,雌,美津照重,菊安舞鶴,金幸,平茂勝,309,271,538000,2020-06-11
19293,去勢,美津照重,菊花国,安平,上福,295,333,591000,2020-06-11
19294,去勢,美津照重,菊花国,勝忠平,安平,296,286,550000,2020-06-11
19295,去勢,美津照重,菊花国,福栄,平茂勝,284,271,562000,2020-06-11
19296,去勢,美津照重,金幸,第５隼福,紋次郎,284,306,581000,2020-06-11
19297,去勢,美津照重,金幸,福栄,北国７の８,297,267,511000,2020-06-11
19298,去勢,美津照重,金幸,平茂勝,糸藤（鹿）,304,331,571000,2020-06-11
19299,去勢,美津照重,金幸,平茂勝,神高福,296,310,579000,2020-06-11
19300,雌,美津照重,金平,上福,福桜（宮）,302,317,521000,2020-06-11
19301,雌,美津照重,幸紀雄,安福久,平茂勝,294,280,557000,2020-06-11
19302,去勢,美津照重,糸福（鹿）,平茂勝,神高福,307,351,602000,2020-06-11
19303,去勢,美津照重,勝忠平,安福久,平茂勝,301,322,605000,2020-06-11
19304,去勢,美津照重,勝忠平,安福久,平茂勝,294,321,699000,2020-06-11
19305,雌,美津照重,勝忠平,安平,福茂,302,278,476000,2020-06-11
19306,雌,美津照重,勝忠平,安平照,第２０平茂,290,306,523000,2020-06-11
19307,雌,美津照重,勝忠平,安平照,福桜（宮）,303,282,504000,2020-06-11
19308,去勢,美津照重,勝忠平,金幸,平茂勝,267,283,516000,2020-06-11
19309,雌,美津照重,勝忠平,糸福（大）,神高福,280,276,529000,2020-06-11
19310,雌,美津照重,勝忠平,神高福,金徳,296,348,733000,2020-06-11
19311,雌,美津照重,勝忠平,第１花国,平茂勝,293,292,531000,2020-06-11
19312,去勢,美津照重,勝忠平,忠富士,隆桜,260,271,545000,2020-06-11
19313,去勢,美津照重,勝忠平,白清８５の３,糸福（岐）,291,300,573000,2020-06-11
19314,雌,美津照重,勝忠平,平茂勝,安福１６５の９,293,282,532000,2020-06-11
19315,去勢,美津照重,勝忠平,平茂晴,平茂勝,277,289,554000,2020-06-11
19316,去勢,美津照重,勝平正,福桜（宮）,糸秀,286,325,647000,2020-06-11
19317,雌,美津照重,忠富士,上福,隆桜,335,189,226000,2020-06-11
19318,去勢,美津照重,忠富士,福茂,隆美,379,313,545000,2020-06-11
19319,雌,美津照重,直太郎,福栄,百合茂,306,238,406000,2020-06-11
19320,去勢,美津照重,藤平茂,勝福,第２福鶴,296,285,457000,2020-06-11
19321,雌,美津照重,美国桜,安福久,金幸,294,217,308000,2020-06-11
19322,去勢,美津照重,美国桜,勝忠平,安福久,301,302,749000,2020-06-11
19323,雌,美津照重,美穂国,勝忠平,安平,313,317,550000,2020-06-11
19324,去勢,美津照重,美穂国,福之国,安平,283,308,580000,2020-06-11
19325,雌,美津照重,百合茂,安福久,安平,302,278,555000,2020-06-11
19326,去勢,美津照重,百合茂,安福久,勝忠平,286,310,605000,2020-06-11
19327,去勢,美津照重,百合茂,安福久,平茂勝,286,333,752000,2020-06-11
19328,雌,美津照重,百合茂,安平,隆桜,309,298,541000,2020-06-11
19329,雌,美津照重,百合茂,安平,隆桜,283,315,549000,2020-06-11
19330,去勢,美津照重,百合茂,安茂勝,糸秀,293,331,608000,2020-06-11
19331,雌,美津照重,百合茂,糸梅,糸福（大）,277,269,478000,2020-06-11
19332,去勢,美津照重,百合茂,上福,福桜（宮）,273,335,670000,2020-06-11
19333,去勢,美津照重,百合茂,第１花国,安福（岐）,287,315,583000,2020-06-11
19334,雌,美津照重,百合茂,福栄,平茂勝,303,316,535000,2020-06-11
19335,去勢,美津照重,百合茂,福桜（宮）,安平,259,364,745000,2020-06-11
19336,雌,美津照重,百合茂,福之国,安平,305,267,504000,2020-06-11
19337,雌,美津照重,百合茂,平茂晴,安平,305,302,566000,2020-06-11
19338,雌,美津照重,福之国,安平,照谷,275,267,523000,2020-06-11
19339,去勢,美津照重,福之国,福桜（宮）,糸秀,300,334,587000,2020-06-11
19340,雌,美津照重,福之国,紋次郎,糸秀,319,223,297000,2020-06-11
19341,雌,美津照重,平茂幸,安茂勝,福茂,301,233,394000,2020-06-11
19342,雌,美津照重,平茂幸,平茂勝,神高福,303,236,446000,2020-06-11
19343,雌,美津照重,平茂勝,安福１６５の９,福桜（宮）,303,288,499000,2020-06-11
19344,雌,美津照重,平茂勝,安平,隆桜,309,271,497000,2020-06-11
19345,去勢,美津照重,平茂勝,安平,隆桜,298,324,591000,2020-06-11
19346,去勢,美津照重,平茂晴,安福久,平茂勝,287,308,564000,2020-06-11
19347,去勢,美津照重,平茂晴,安福久,平茂勝,291,318,687000,2020-06-11
19348,去勢,美津照重,平茂晴,安平,糸秀,271,321,640000,2020-06-11
19349,雌,美津照重,平茂晴,安平,隆美,315,290,549000,2020-06-11
19350,雌,美津照重,平茂晴,勝忠平,安平,311,263,463000,2020-06-11
19351,雌,美津照重,平茂晴,勝忠平,牛若丸,279,212,315000,2020-06-11
19352,雌,美津照重,平茂晴,平茂勝,安平,295,318,582000,2020-06-11
19353,雌,美津照重,芳之国,百合茂,安平,298,312,543000,2020-06-11
19354,去勢,美津照重,茂重安福（岐）,平茂勝,糸治,262,291,560000,2020-06-11
19355,雌,美津照重,隆之国,安福久,平茂勝,259,266,619000,2020-06-11
19356,去勢,美津照重,隆之国,百合茂,安糸福,289,355,749000,2020-06-11
19357,雌,美津照重,隆之国,百合茂,安福久,296,319,699000,2020-06-11
19358,去勢,美津照重,隆之国,百合茂,平茂晴,296,344,706000,2020-06-11
19359,去勢,美津忠,安福久,百合茂,平茂晴,297,292,640000,2020-06-11
19360,去勢,美津忠,安茂勝,福栄,糸藤（鹿）,306,351,589000,2020-06-11
19361,雌,美津忠,糸福（鹿）,茂波,平茂勝,312,313,496000,2020-06-11
19362,雌,美津忠,直太郎,安福久,百合茂,305,305,528000,2020-06-11
19363,去勢,美津忠,美津福,隆桜,安平,271,321,561000,2020-06-11
19364,去勢,美津忠,福栄,百合茂,平茂勝,293,357,638000,2020-06-11
19365,去勢,美津忠,福之国,忠富士,糸秀,265,310,580000,2020-06-11
19366,去勢,美津百合,芳之国,安福久,北国７の８,286,347,770000,2020-06-11
19367,雌,美優王,安福久,百合茂,安平,283,255,679000,2020-06-11
19368,雌,百合久,安福久,安平照,平茂勝,291,348,769000,2020-06-11
19369,雌,百合久,安福久,平茂晴,安平,298,316,576000,2020-06-11
19370,去勢,百合久,美国桜,金太郎３,安福久,279,358,884000,2020-06-11
19371,去勢,百合勝安,安茂勝,安福久,平茂勝,266,294,665000,2020-06-11
19372,去勢,百合勝安,美津照重,糸秀,安福（岐）,313,328,647000,2020-06-11
19373,去勢,百合勝安,美津照重,勝忠平,金鶴,293,340,662000,2020-06-11
19374,去勢,百合照茂,福栄,平茂勝,糸福（大）,301,277,396000,2020-06-11
19375,去勢,百合白清２,安福久,金幸,忠福,306,354,786000,2020-06-11
19376,雌,百合白清２,安福久,金幸,平茂勝,303,284,511000,2020-06-11
19377,雌,百合白清２,安福久,百合茂,福栄,283,284,732000,2020-06-11
19378,去勢,百合白清２,安福久,平茂勝,紋次郎,272,298,695000,2020-06-11
19379,去勢,百合白清２,菊福秀,北国７の８,平茂勝,267,357,690000,2020-06-11
19380,雌,百合白清２,幸紀雄,安福久,平茂勝,280,237,528000,2020-06-11
19381,雌,百合白清２,勝忠平,安平,糸秀,273,333,884000,2020-06-11
19382,雌,百合白清２,勝忠平,美津照,平茂勝,297,280,554000,2020-06-11
19383,去勢,百合白清２,千代桜,福栄,糸秀,282,285,601000,2020-06-11
19384,去勢,百合白清２,隆之国,勝忠平,安平照,278,345,663000,2020-06-11
19385,雌,百合福,安茂勝,平茂勝,糸晴（佐）,302,263,422000,2020-06-11
19386,去勢,百合福久,安福久,忠茂,北国７の８,295,325,671000,2020-06-11
19387,雌,百合福久,華春福,安福久,金幸,296,302,578000,2020-06-11
19388,雌,百合茂,安福久,金幸,平茂勝,302,307,824000,2020-06-11
19389,去勢,百合茂,安福久,平茂勝,安平,260,297,695000,2020-06-11
19390,去勢,百合茂,安福久,平茂勝,安平,298,309,713000,2020-06-11
19391,去勢,百合茂,安福久,平茂勝,糸福（大）,300,338,763000,2020-06-11
19392,去勢,百合茂,安福久,平茂勝,隆桜,280,312,658000,2020-06-11
19393,去勢,百合茂,安福久,北国７の８,平茂勝,289,304,629000,2020-06-11
19394,雌,百合茂,安福久,北国７の８,平茂勝,306,265,475000,2020-06-11
19395,去勢,福久幸,安茂勝,北国茂,平茂勝,301,247,299000,2020-06-11
19396,去勢,福増,安糸福,忠菊,糸秀,291,267,404000,2020-06-11
19397,去勢,福増,菊安舞鶴,安平,隆桜,274,317,521000,2020-06-11
19398,去勢,福増,賢晴,晴美,福茂,300,349,604000,2020-06-11
19399,雌,福増,幸紀雄,百合茂,安平,266,270,563000,2020-06-11
19400,去勢,福増,忠富士,福之国,上福,256,335,588000,2020-06-11
19401,去勢,福増,美国桜,百合茂,安平,291,290,574000,2020-06-11
19402,去勢,福増,美津照重,安茂勝,安平照,290,369,677000,2020-06-11
19403,去勢,福増,美津照重,勝忠平,安平照,300,340,499000,2020-06-11
19404,去勢,福増,平茂勝,安平,福桜（宮）,305,348,580000,2020-06-11
19405,雌,福増,平茂勝,福栄,隆桜,272,324,552000,2020-06-11
19406,去勢,福増,平茂勝,紋次郎,糸光◆,284,316,555000,2020-06-11
19407,去勢,福増,平茂晴,福桜（宮）,糸晴（佐）,304,281,400000,2020-06-11
19408,去勢,福増,芳之国,百合茂,紋次郎,300,406,738000,2020-06-11
19409,去勢,福増,隆之国,勝忠平,福桜（宮）,254,318,637000,2020-06-11
19410,去勢,福増,隆之国,平茂勝,安平,293,324,597000,2020-06-11
19411,雌,福之姫,安糸福,忠富士,上福,298,277,526000,2020-06-11
19412,雌,福之姫,安糸福,平茂勝,神高福,268,289,504000,2020-06-11
19413,雌,福之姫,安福久,金幸,安平,281,293,639000,2020-06-11
19414,去勢,福之姫,安福久,金幸,平茂勝,299,366,871000,2020-06-11
19415,去勢,福之姫,安福久,勝忠平,金幸,298,310,689000,2020-06-11
19416,去勢,福之姫,安福久,勝忠平,福桜（宮）,283,264,573000,2020-06-11
19417,雌,福之姫,安福久,忠富士,安平,290,280,528000,2020-06-11
19418,雌,福之姫,安福久,忠富士,安平,291,298,573000,2020-06-11
19419,雌,福之姫,安福久,百合茂,金幸,274,343,886000,2020-06-11
19420,雌,福之姫,安福久,百合茂,平茂勝,252,308,877000,2020-06-11
19421,雌,福之姫,安福久,百合茂,平茂勝,246,325,632000,2020-06-11
19422,去勢,福之姫,安福久,平茂勝,安美金,323,307,581000,2020-06-11
19423,去勢,福之姫,安福久,平茂勝,安平,285,355,828000,2020-06-11
19424,去勢,福之姫,安福久,平茂勝,安平,271,323,680000,2020-06-11
19425,雌,福之姫,安福久,平茂勝,安平,266,282,574000,2020-06-11
19426,去勢,福之姫,安福久,平茂勝,糸福（大）,286,328,721000,2020-06-11
19427,去勢,福之姫,安福久,平茂晴,安平,248,337,935000,2020-06-11
19428,雌,福之姫,安茂勝,福栄,第２０平茂,305,244,460000,2020-06-11
19429,雌,福之姫,安茂勝,福栄,平茂勝,290,311,540000,2020-06-11
19430,去勢,福之姫,安茂勝,福之国,安平,312,282,609000,2020-06-11
19431,雌,福之姫,華春福,安福久,勝忠平,291,292,708000,2020-06-11
19432,雌,福之姫,華春福,安福久,平茂勝,287,314,749000,2020-06-11
19433,去勢,福之姫,華春福,勝忠平,第１花国,264,376,735000,2020-06-11
19434,去勢,福之姫,華春福,神徳福,平茂勝,268,341,738000,2020-06-11
19435,去勢,福之姫,菊花国,平茂幸,平茂勝,310,385,682000,2020-06-11
19436,去勢,福之姫,菊福秀,平茂勝,安平,314,376,658000,2020-06-11
19437,去勢,福之姫,光平照,勝忠平,第１花国,296,340,682000,2020-06-11
19438,雌,福之姫,勝忠平,安福久,安平,298,311,574000,2020-06-11
19439,雌,福之姫,勝忠平,安平,奥高,314,289,540000,2020-06-11
19440,去勢,福之姫,勝忠平,安平,第２０平茂,288,363,703000,2020-06-11
19441,去勢,福之姫,勝忠平,福栄,福桜（宮）,280,375,656000,2020-06-11
19442,雌,福之姫,勝忠平,福桜（宮）,糸秀,303,328,551000,2020-06-11
19443,去勢,福之姫,美国桜,勝忠平,紋次郎,281,320,706000,2020-06-11
19444,雌,福之姫,美津照重,安茂勝,福栄,295,284,499000,2020-06-11
19445,雌,福之姫,美津照重,金幸,勝忠平,366,208,307000,2020-06-11
19446,去勢,福之姫,美津照重,勝忠平,安福久,307,337,692000,2020-06-11
19447,去勢,福之姫,美津照重,勝忠平,安平,299,350,731000,2020-06-11
19448,去勢,福之姫,美津照重,北国茂,平茂勝,291,332,623000,2020-06-11
19449,去勢,福之姫,美津百合,福栄,平茂勝,301,293,601000,2020-06-11
19450,雌,福之姫,美穂国,安平,福桜（宮）,294,277,538000,2020-06-11
19451,去勢,福之姫,百合白清２,安福久,勝忠平,301,350,803000,2020-06-11
19452,去勢,福之姫,百合白清２,福栄,平茂勝,308,303,591000,2020-06-11
19453,雌,福之姫,百合茂,安糸福,平茂勝,297,323,703000,2020-06-11
19454,去勢,福之姫,百合茂,安福久,糸福（大）,272,300,700000,2020-06-11
19455,去勢,福之姫,百合茂,安福久,平茂勝,300,319,714000,2020-06-11
19456,去勢,福之姫,百合茂,安平,第６糸秀,289,390,766000,2020-06-11
19457,去勢,福之姫,百合茂,福之国,忠富士,272,308,603000,2020-06-11
19458,雌,福之姫,百合茂,平茂晴,安平,275,312,567000,2020-06-11
19459,雌,福之姫,福華１,金幸,平茂勝,295,260,481000,2020-06-11
19460,雌,福之姫,福桜（宮）,安平,福茂,295,301,443000,2020-06-11
19461,雌,福之姫,福桜（宮）,平茂勝,安平,301,387,562000,2020-06-11
19462,去勢,福之姫,福之国,安平,隆美,302,375,726000,2020-06-11
19463,雌,福之姫,平茂晴,安福久,百合茂,275,270,568000,2020-06-11
19464,雌,福之姫,芳之国,美津照重,平茂勝,266,360,597000,2020-06-11
19465,雌,福之姫,北仁,菊谷,糸秀,305,353,514000,2020-06-11
19466,去勢,福之姫,北乃大福,平茂勝,安平,300,349,663000,2020-06-11
19467,去勢,福之姫,北福波,平茂勝,北国７の８,292,355,627000,2020-06-11
19468,去勢,福之姫,茂勝栄,福桜（宮）,福茂,269,353,658000,2020-06-11
19469,去勢,福之姫,茂勝栄,平茂勝,但馬福,273,354,596000,2020-06-11
19470,去勢,福之姫,茂洋,百合茂,平茂晴,286,278,610000,2020-06-11
19471,雌,福之姫,隆之国,安福久,百合茂,284,279,571000,2020-06-11
19472,去勢,福之姫,隆之国,忠富士,安平,269,261,509000,2020-06-11
19473,雌,福之姫,諒太郎,安福久,平茂晴,275,291,538000,2020-06-11
19474,去勢,福之姫,諒太郎,安平,福桜（宮）,296,350,691000,2020-06-11
19475,去勢,平茂幸,美津照重,百合茂,平茂勝,298,293,581000,2020-06-11
19476,雌,平茂幸,美津照重,隆之国,安福久,283,265,495000,2020-06-11
19477,去勢,平茂勝,安福１６５の９,平茂勝,安平,302,318,507000,2020-06-11
19478,去勢,平茂勝,安平,第１花国,糸福（大）,280,315,494000,2020-06-11
19479,去勢,平茂晴,百合茂,美津福,奥高,284,346,628000,2020-06-11
19480,雌,平茂晴,福栄,平茂勝,糸福（大）,259,261,813000,2020-06-11
19481,去勢,芳之国,幸紀雄,安福久,平茂勝,288,291,572000,2020-06-11
19482,雌,芳之国,忠久勝,安福１６５の９,安平,293,298,527000,2020-06-11
19483,去勢,芳之国,直太郎,安福久,福華１,305,312,686000,2020-06-11
19484,去勢,芳之国,美津照重,安茂勝,福栄,311,437,759000,2020-06-11
19485,雌,芳之国,諒太郎,平茂晴,安福久,292,237,501000,2020-06-11
19486,去勢,北国７の８,百合白清２,安福久,平茂勝,304,241,281000,2020-06-11
19487,去勢,本富士,湯布安平,寿恵福,藤平茂（大）,290,305,515000,2020-06-11
19488,雌,本富士,美津照重,平茂晴,平茂勝,281,296,493000,2020-06-11
19489,雌,満天白清,耕富士,安福久,平茂勝,289,242,571000,2020-06-11
19490,去勢,茂勝朗,安福久,勝忠平,安平,283,335,787000,2020-06-11
19491,去勢,茂勝朗,安福久,百合茂,紋次郎,303,240,512000,2020-06-11
19492,去勢,茂勝朗,花乃国,福栄,高栄,272,361,734000,2020-06-11
19493,雌,茂勝朗,菊安舞鶴,百合茂,第１花国,281,319,576000,2020-06-11
19494,雌,茂勝朗,平茂勝,第１花国,福栄,289,318,539000,2020-06-11
19495,雌,茂勝朗,平茂晴,安福久,平茂勝,296,281,552000,2020-06-11
19496,去勢,茂勝朗,隆之国,安福久,忠富士,302,297,655000,2020-06-11
19497,雌,茂勝朗,隆之国,安福久,平茂勝,279,300,603000,2020-06-11
19498,去勢,茂晴花,安福久,平茂勝,安平,311,333,719000,2020-06-11
19499,雌,茂晴花,安平,福桜（宮）,上福,287,340,522000,2020-06-11
19500,去勢,茂晴花,第２平茂勝,福桜（宮）,糸秀,273,278,593000,2020-06-11
19501,去勢,茂晴花,百合茂,第１花国,平茂勝,265,334,553000,2020-06-11
19502,去勢,茂白清,美津照重,直太郎,安福久,282,341,693000,2020-06-11
19503,去勢,茂洋,平茂勝,糸福（大）,安福１６５の９,290,328,600000,2020-06-11
19504,雌,隆安国,安福久,上茂福,隆桜,295,244,487000,2020-06-11
19505,雌,隆安国,諒太郎,安福久,平茂晴,299,258,529000,2020-06-11
19506,雌,隆之国,安福久,勝忠平,安平,296,295,777000,2020-06-11
19507,去勢,隆之国,安福久,勝忠平,福栄,279,359,891000,2020-06-11
19508,去勢,隆之国,安福久,忠富士,安平,284,318,680000,2020-06-11
19509,雌,隆之国,安福久,福桜（宮）,福茂,275,307,702000,2020-06-11
19510,去勢,隆之国,安福久,平茂勝,安平,284,314,620000,2020-06-11
19511,去勢,隆之国,安福久,平茂勝,安平,310,340,769000,2020-06-11
19512,去勢,隆之国,安福久,平茂勝,安平,311,391,867000,2020-06-11
19513,雌,隆之国,安福久,平茂勝,糸福（大）,311,283,546000,2020-06-11
19514,去勢,隆之国,安福久,平茂勝,上福,291,307,643000,2020-06-11
19515,雌,隆之国,安福久,平茂勝,北国７の８,304,284,565000,2020-06-11
19516,雌,隆之国,安福久,平茂勝,隆桜,296,279,512000,2020-06-11
19517,雌,隆之国,安茂勝,安福久,第１花国,301,257,192000,2020-06-11
19518,去勢,隆之国,華春福,安福久,百合茂,296,309,656000,2020-06-11
19519,雌,隆之国,喜亀忠,安福久,忠茂勝,294,310,569000,2020-06-11
19520,雌,隆之国,勝忠平,平茂晴,安福久,265,268,528000,2020-06-11
19521,去勢,隆之国,勝忠平,北国７の８,平茂勝,266,310,616000,2020-06-11
19522,雌,隆之国,神高福,第２０平茂,北国７の３,288,279,376000,2020-06-11
19523,去勢,隆之国,直太郎,安福久,平茂勝,274,313,752000,2020-06-11
19524,去勢,隆之国,美国桜,安福久,百合茂,301,341,905000,2020-06-11
19525,去勢,隆之国,美国桜,勝忠平,安平,284,371,746000,2020-06-11
19526,去勢,隆之国,美国桜,勝忠平,福栄,280,284,646000,2020-06-11
19527,雌,隆之国,百合茂,安福久,平茂勝,292,318,609000,2020-06-11
19528,雌,隆之国,百合茂,安福久,平茂勝,289,290,581000,2020-06-11
19529,雌,隆之国,百合茂,平茂勝,北国７の８,264,272,537000,2020-06-11
19530,雌,隆之国,福桜（宮）,安平,第６糸秀,312,255,460000,2020-06-11
19531,雌,諒太郎,安福久,平茂勝,安平,299,323,865000,2020-06-11
